uid,org,group,a,b,entry,f1,correct,prec_id0.25,prec_id0,prec_examples
ma-bak-cepc-0200,yeast,confident,P23179,Q02721,8uru,0.8831168831168831,True,False,False,
ma-bak-cepc-0214,yeast,confident,P25301,P38953,9q2h,0.8026315789473685,True,False,False,
ma-bak-cepc-0228,yeast,confident,P25582,Q04031,7nac,0.6296296296296297,True,False,False,
ma-bak-cepc-0242,yeast,confident,P26798,P13902,7xq5,0.8925619834710744,True,False,False,
ma-bak-cepc-0272,yeast,confident,P32341,P38784,8eat,0.8979591836734694,True,False,False,
ma-bak-cepc-0285,yeast,confident,P32495,Q6Q547,9g28,0.7368421052631579,True,True,True,7BGB
ma-bak-cepc-0294,yeast,confident,P32527,P38788,7x3k,0.825531914893617,True,False,True,
ma-bak-cepc-0300,yeast,confident,P32602,P18759,9nlz,0.847457627118644,True,True,True,"3J96,3J97,3J98,3J99"
ma-bak-cepc-0302,yeast,confident,P32613,Q03660,7u05,0.8888888888888888,True,False,False,
ma-bak-cepc-0303,yeast,confident,P32617,P53946,9cat,0.9281045751633988,True,True,True,"6FHS,6FML"
ma-bak-cepc-0314,yeast,confident,P32897,P39515,8e1m,0.9534883720930232,True,False,False,
ma-bak-cepc-0322,yeast,confident,P32905,Q08444,8c01,0.8411214953271028,True,True,True,"6G18,6G4S,6G51,6G53"
ma-bak-cepc-0355,yeast,confident,P33891,P28791,8eki,0.8457142857142858,True,False,False,
ma-bak-cepc-0382,yeast,confident,P36049,P43586,8v87,0.8387096774193549,True,False,False,
ma-bak-cepc-0390,yeast,confident,P36107,Q06346,9ivc,0.875,True,False,False,
ma-bak-cepc-0395,yeast,confident,P36131,P53168,8q84,0.8732394366197183,True,False,False,
ma-bak-cepc-0396,yeast,confident,P36131,Q03954,8q85,0.7719298245614035,True,False,False,
ma-bak-cepc-0399,yeast,confident,P36146,Q07845,7y18,0.8235294117647058,True,True,True,"6OF2,6OF3,6OF4"
ma-bak-cepc-0404,yeast,confident,P36162,P35734,8q84,0.9473684210526316,True,False,False,
ma-bak-cepc-0405,yeast,confident,P36162,P69852,8q84,0.3582089552238806,False,False,False,
ma-bak-cepc-0406,yeast,confident,P36162,Q03954,8q84,0.9594594594594594,True,False,False,
ma-bak-cepc-0443,yeast,confident,P38255,P31385,8hpo,0.448,False,False,False,
ma-bak-cepc-0444,yeast,confident,P38255,Q07458,8hpo,0.8205128205128205,True,False,False,
ma-bak-cepc-0452,yeast,confident,P38302,Q12309,9dtr,0.9041095890410958,True,True,True,7B9V
ma-bak-cepc-0465,yeast,confident,P38429,P40505,9v2w,0.6521739130434783,True,False,False,
ma-bak-cepc-0502,yeast,confident,P38927,P12689,8tlt,0.8111888111888111,True,False,False,
ma-bak-cepc-0503,yeast,confident,P38953,P40465,9q2c,0.8943089430894309,True,False,False,
ma-bak-cepc-0508,yeast,confident,P39012,P38875,9ub8,0.8695652173913043,True,False,False,
ma-bak-cepc-0515,yeast,confident,P39515,Q02889,9j9b,0.8524590163934426,True,False,False,
ma-bak-cepc-0524,yeast,confident,P39731,P47149,9s4q,0.898936170212766,True,True,True,"5T51,5T58,5T59,5WWL"
ma-bak-cepc-0529,yeast,confident,P39744,P10962,8e5t,0.3076923076923077,False,False,False,
ma-bak-cepc-0535,yeast,confident,P40046,P47075,7ytj,0.8177777777777778,True,False,False,
ma-bak-cepc-0571,yeast,confident,P40505,P31385,9v2v,0.84,True,False,False,
ma-bak-cepc-0577,yeast,confident,P40568,P39731,9s5n,0.054054054054054,False,True,True,5T58
ma-bak-cepc-0578,yeast,confident,P40568,P47149,9s5n,0.34375,False,True,True,5T58
ma-bak-cepc-0579,yeast,confident,P40568,Q12143,9s5n,0.8443271767810027,True,True,True,5T58
ma-bak-cepc-0586,yeast,confident,P41733,P38875,9ub8,0.926605504587156,True,False,False,
ma-bak-cepc-0587,yeast,confident,P41733,P39012,9ub8,0.0,False,False,False,
ma-bak-cepc-0588,yeast,confident,P41733,Q04080,9ub7,0.8656716417910447,True,False,False,
ma-bak-cepc-0596,yeast,confident,P42846,P25586,9g28,0.7005649717514124,True,False,False,
ma-bak-cepc-0612,yeast,confident,P46670,P40987,9edr,0.6379310344827587,True,False,False,
ma-bak-cepc-0637,yeast,confident,P47088,P25580,23gf,0.9148936170212766,True,False,False,
ma-bak-cepc-0643,yeast,confident,P47128,Q12311,9uuo,0.8347826086956521,True,False,False,
ma-bak-cepc-0674,yeast,confident,P49018,P39012,9ub7,0.5151515151515151,True,False,False,
ma-bak-cepc-0675,yeast,confident,P49018,Q04080,9ub7,0.8200836820083682,True,False,False,
ma-bak-cepc-0700,yeast,confident,P53146,P28791,8eki,0.8421052631578947,True,False,False,
ma-bak-cepc-0701,yeast,confident,P53146,Q12745,8eki,0.9176470588235294,True,False,False,
ma-bak-cepc-0719,yeast,confident,P53267,Q12248,8q84,0.6597938144329897,True,True,True,6CFZ
ma-bak-cepc-0732,yeast,confident,P53335,P53131,8rdy,0.8235294117647058,True,False,False,
ma-bak-cepc-0734,yeast,confident,P53437,P38204,7z0o,0.9521410579345088,True,False,False,
ma-bak-cepc-0771,yeast,confident,P05748,P21304,10zz,0.4242424242424242,False,True,True,"4V3P,4V7E"
ma-bak-cepc-0780,yeast,confident,P69851,P69852,8q84,0.918032786885246,True,False,False,
ma-bak-cepc-0794,yeast,confident,Q01852,P39515,9n84,0.5714285714285714,True,False,False,
ma-bak-cepc-0797,yeast,confident,Q02199,P14907,7wot,0.5560165975103735,True,True,True,"8ZZA,8ZZB,8ZZC,8ZZK"
ma-bak-cepc-0798,yeast,confident,Q02199,P48837,7wot,0.6878980891719745,True,False,False,
ma-bak-cepc-0809,yeast,confident,Q02574,P48581,8fs6,0.9176470588235294,True,False,False,
ma-bak-cepc-0821,yeast,confident,Q02793,P23179,8uru,0.8421052631578947,True,False,False,
ma-bak-cepc-0863,yeast,confident,Q03579,P28496,8qtr,0.7848101265822784,True,False,False,
ma-bak-cepc-0868,yeast,confident,Q03723,P39007,7oci,0.964824120603015,True,False,False,
ma-bak-cepc-0878,yeast,confident,Q04080,P38875,9ub8,0.8545454545454545,True,False,False,
ma-bak-cepc-0913,yeast,confident,Q05541,P43124,7tve,0.8692579505300353,True,False,False,
ma-bak-cepc-0926,yeast,confident,Q06163,Q03096,9swn,0.8427672955974843,True,False,False,
ma-bak-cepc-0945,yeast,confident,Q06551,P41912,8hfc,0.9433962264150944,True,False,False,
ma-bak-cepc-0960,yeast,confident,Q07913,P43124,7ymd,0.7111111111111111,True,False,False,
ma-bak-cepc-0961,yeast,confident,Q07913,Q05541,7tve,0.8544600938967136,True,False,False,
ma-bak-cepc-0992,yeast,confident,Q08923,P31385,9v2v,0.3870967741935484,False,False,False,
ma-bak-cepc-0993,yeast,confident,Q08949,P48581,8fs5,0.7272727272727273,True,False,False,
ma-bak-cepc-0994,yeast,confident,Q08949,Q02574,8fs7,0.6741573033707865,True,False,False,
ma-bak-cepc-1015,yeast,confident,Q12124,P40356,7uil,0.6909090909090909,True,True,True,8ZZ3
ma-bak-cepc-1021,yeast,confident,Q12143,P47149,9s4q,0.8813559322033898,True,True,True,5T58
ma-bak-cepc-1033,yeast,confident,Q12248,P69850,8q84,0.8760330578512396,True,True,True,6CFZ
ma-bak-cepc-1047,yeast,confident,Q12343,Q12321,8cen,0.8947368421052632,True,True,True,8ZZ3
ma-bak-cepc-1053,yeast,confident,Q12387,Q06504,8bip,0.9294605809128632,True,False,True,
ma-bak-cepc-1060,yeast,confident,Q12432,Q04779,8kc7,0.7015706806282722,True,False,False,
ma-bak-cepc-1084,yeast,confident,Q3E790,P40970,8qof,0.9133858267716536,True,False,False,
ma-bak-cepc-1101,yeast,confident,Q99216,Q08444,8c01,0.8571428571428571,True,True,True,"6G18,6G4S,6G51,6G53"
